"","TOTAL"
"AFR","21 [17 - 26]"
"AMR","2 [1 - 3]"
"EMR","4 [2 - 9]"
"EUR","3 [2 - 4]"
"SEA","13 [5 - 24]"
"WPR","9 [6 - 13]"
"TOTAL","11 [8 - 14]"
