"","TOTAL"
"AFR","21 [17 - 26]"
"AMR","2 [1 - 3]"
"EMR","5 [2 - 10]"
"EUR","3 [2 - 4]"
"SEA","17 [10 - 26]"
"WPR","9 [6 - 13]"
"TOTAL","12 [10 - 15]"
