"","TOTAL"
"AFR","17 [14 - 21]"
"AMR","2 [1 - 2]"
"EMR","5 [2 - 10]"
"EUR","3 [2 - 4]"
"SEA","16 [9 - 25]"
"WPR","9 [6 - 13]"
"TOTAL","11 [9 - 14]"
